Squadra,cambiato_inizio,cambiato_in_corso,anno
Atalanta,0,0,2018
Benevento,0,1,2018
Bologna,0,0,2018
Cagliari,0,1,2018
Chievo Verona,0,1,2018
Crotone,0,1,2018
Fiorentina,1,0,2018
Genoa,0,1,2018
Hellas Verona,0,0,2018
Internazionale,1,0,2018
Juventus,0,0,2018
Lazio,0,0,2018
Milan,0,1,2018
Napoli,0,0,2018
Roma,1,0,2018
Sampdoria,0,0,2018
Sassuolo,1,0,2018
SPAL,0,0,2018
Torino,0,1,2018
Udinese,0,1,2018
Atalanta,1,0,2017
Bologna,0,0,2017
Cagliari,0,0,2017
Chievo Verona,0,0,2017
Crotone,1,0,2017
Empoli,1,0,2017
Fiorentina,0,0,2017
Genoa,1,2,2017
Palermo,0,4,2017
Internazionale,1,3,2017
Juventus,0,0,2017
Lazio,1,0,2017
Milan,1,0,2017
Napoli,0,0,2017
Roma,0,0,2017
Sampdoria,1,0,2017
Sassuolo,0,0,2017
Pescara,0,2,2017
Torino,1,0,2017
Udinese,1,1,2017
Atalanta,0,0,2016
Bologna,0,1,2016
Carpi,0,2,2016
Chievo Verona,0,0,2016
Empoli,1,0,2016
Fiorentina,1,0,2016
Frosinone,0,0,2016
Genoa,0,0,2016
Hellas Verona,0,1,2016
Internazionale,0,0,2016
Juventus,0,0,2016
Lazio,0,1,2016
Milan,1,1,2016
Napoli,1,0,2016
Palermo,0,7,2016
Roma,0,1,2016
Sampdoria,1,1,2016
Sassuolo,0,0,2016
Torino,0,0,2016
Udinese,1,1,2016
