,Nome,GP,STD,Mean,Titolare,Squadra
0,AARONS,10,0.31622776601683794,5.4,0.2631578947368421,Verona
1,ABATE,16,1.3002403623945844,5.84375,0.42105263157894735,Milan
2,ACERBI,38,0.720681082954584,5.881578947368421,1.0,Sassuolo
3,ACQUAH,16,0.8366600265340756,5.75,0.42105263157894735,Torino
4,ADJAPONG,15,0.8423323628614833,5.733333333333333,0.39473684210526316,Sassuolo
5,ADNAN,22,0.7009579098219746,5.909090909090909,0.5789473684210527,Udinese
6,AJETI,18,1.0683350922257706,5.638888888888889,0.47368421052631576,Crotone
7,ALBIOL,31,1.417061930943398,6.483870967741935,0.8157894736842105,Napoli
8,ALEX SANDRO,26,1.8937142989780287,6.615384615384615,0.6842105263157895,Juventus
9,ALISSON,37,1.182168567727345,5.756756756756757,0.9736842105263158,Roma
10,ALLAN,37,1.5341458873274092,6.797297297297297,0.9736842105263158,Napoli
11,ALVAREZ R,11,1.3684762594679063,6.045454545454546,0.2894736842105263,Sampdoria
12,ANDERSEN,6,0.4183300132670378,5.75,0.15789473684210525,Sampdoria
13,ANDRE' SILVA,22,1.6568433450781854,6.068181818181818,0.5789473684210527,Milan
14,ANDREOLLI,22,0.6228860353122495,5.568181818181818,0.5789473684210527,Cagliari
15,ANGELLA,12,0.7177405625652734,5.333333333333333,0.3157894736842105,Udinese
16,ANSALDI,25,1.0420332688227056,6.24,0.6578947368421053,Torino
17,ANTEI,8,0.9613049166924836,5.3125,0.21052631578947367,Benevento
18,ANTENUCCI,32,2.0495377134148267,7.34375,0.8421052631578947,SPAL
19,ANTONELLI,3,0.5773502691896258,5.166666666666667,0.07894736842105263,Milan
20,ANTONUCCI,2,1.4142135623730951,6.5,0.05263157894736842,Roma
21,ARMENTEROS,8,1.3093073414159542,6.0,0.21052631578947367,Benevento
22,ASAMOAH,19,0.5,6.0,0.5,Juventus
23,ASTORI,25,1.061838029079765,6.24,0.6578947368421053,Fiorentina
24,AVENATTI,9,0.5833333333333334,5.444444444444445,0.23684210526315788,Bologna
25,BABACAR,28,1.8202999927188002,6.535714285714286,0.7368421052631579,Sassuolo
26,BADELJ,27,1.1351041971825928,6.0,0.7105263157894737,Fiorentina
27,BAJIC,3,0.0,6.0,0.07894736842105263,Udinese
28,BALIC,17,0.600245047998781,5.617647058823529,0.4473684210526316,Udinese
29,BANI,16,0.5836308764964376,5.59375,0.42105263157894735,Chievo
30,BARAK,34,2.530781973522108,6.838235294117647,0.8947368421052632,Udinese
31,BARBERIS,38,1.2636171521685764,5.894736842105263,1.0,Crotone
32,BARELLA,34,1.531313092119393,6.4411764705882355,0.8947368421052632,Cagliari
33,BARRECA,9,0.8660254037844386,5.666666666666667,0.23684210526315788,Torino
34,BARROW,9,1.9112241568632857,7.555555555555555,0.23684210526315788,Atalanta
35,BARZAGLI,20,0.617188020486123,6.025,0.5263157894736842,Juventus
36,BASELLI,31,1.6850066207074548,6.048387096774194,0.8157894736842105,Torino
37,BASTA,11,0.5680909018170179,6.045454545454546,0.2894736842105263,Lazio
38,BASTIEN,21,1.0322190612831128,5.904761904761905,0.5526315789473685,Chievo
39,BASTONI,2,0.3535533905932738,6.25,0.05263157894736842,Atalanta
40,BASTOS,20,1.743219948679364,6.475,0.5263157894736842,Lazio
41,BEARZOTTI,6,0.5477225575051661,5.5,0.15789473684210525,Verona
42,BEHRAMI,20,1.247101903572734,6.15,0.5263157894736842,Udinese
43,BELEC,15,1.579632265825846,3.566666666666667,0.39473684210526316,Sampdoria
44,BELOTTI,32,2.8325228125949784,6.90625,0.8421052631578947,Torino
45,BENALI,10,1.296362432175337,6.25,0.2631578947368421,Crotone
46,BENASSI,35,1.9843928860108375,6.3428571428571425,0.9210526315789473,Fiorentina
47,BENATIA,20,1.4473205733717958,6.4,0.5263157894736842,Juventus
48,BENTANCUR,11,0.40451991747794525,5.818181818181818,0.2894736842105263,Juventus
49,BERARDI,31,1.4655543191453504,5.741935483870968,0.8157894736842105,Sassuolo
50,BERENGUER,18,1.3197840980097757,6.222222222222222,0.47368421052631576,Torino
51,BERESZYNSKI,31,0.6147820664652734,5.693548387096774,0.8157894736842105,Sampdoria
52,BERNARDESCHI,16,2.0854156260403665,7.46875,0.42105263157894735,Juventus
53,BERTOLACCI,33,0.9765236734705847,5.787878787878788,0.868421052631579,Genoa
54,BESSA,25,1.9744197459844584,6.24,0.6578947368421053,Genoa
55,BIANCHETTI,2,0.7071067811865476,5.5,0.05263157894736842,Verona
56,BIGLIA,26,1.0325472609783275,5.884615384615385,0.6842105263157895,Milan
57,BILLONG,5,0.44721359549995787,5.2,0.13157894736842105,Benevento
58,BIONDINI,6,0.408248290463863,5.666666666666667,0.15789473684210525,Sassuolo
59,BIRAGHI,34,1.2584828032722208,5.852941176470588,0.8947368421052632,Fiorentina
60,BIRASCHI,22,0.7059579473145856,5.886363636363637,0.5789473684210527,Genoa
61,BIRSA,34,1.5313130921193931,6.4411764705882355,0.8947368421052632,Chievo
62,BIZZARRI,32,1.9486864889607216,4.59375,0.8421052631578947,Udinese
63,BONAVENTURA,32,2.471613029529893,6.9375,0.8421052631578947,Milan
64,BONAZZOLI,5,0.2738612787525831,5.7,0.13157894736842105,SPAL
65,BONIFAZI,6,0.6324555320336759,6.0,0.15789473684210525,Torino
66,BONUCCI,35,1.3673872528145288,5.928571428571429,0.9210526315789473,Milan
67,BORINI,23,1.3841993733340365,6.065217391304348,0.6052631578947368,Milan
68,BORJA VALERO,33,1.080780792395998,6.0606060606060606,0.868421052631579,Inter
69,BORRIELLO,12,1.4924050144892729,5.5,0.3157894736842105,SPAL
70,BOYE',8,0.4629100498862757,6.0,0.21052631578947367,Torino
71,BRIGNOLA,18,1.5904124511289148,6.666666666666667,0.47368421052631576,Benevento
72,BRIGNOLI,13,2.40791962554337,3.6153846153846154,0.34210526315789475,Benevento
73,BRLEK,4,0.25,5.375,0.10526315789473684,Genoa
74,BROZOVIC,28,2.184223737013526,6.875,0.7368421052631579,Inter
75,BRUNO PERES,16,0.3637192140465866,5.71875,0.42105263157894735,Roma
76,BUCHEL,21,0.5277986629117476,5.357142857142857,0.5526315789473685,Verona
77,BUDIMIR,21,2.8102702801721846,6.4523809523809526,0.5526315789473685,Crotone
78,BUFFON,21,1.4483159350152328,5.5476190476190474,0.5526315789473685,Juventus
79,BURDISSO,24,0.6912365521400707,5.729166666666667,0.631578947368421,Torino
80,CABRERA,5,0.9082951062292475,5.2,0.13157894736842105,Crotone
