,Id,R,Nome,Squadra,Qt. A,Qt. I,Diff.,Tit
0,608,Pc,ZAPATA D,Atalanta,25,25,0,
1,177,T;A,ILICIC,Atalanta,24,24,0,0.9
2,26,A,GOMEZ A,Atalanta,24,24,0,
3,788,C,FREULER,Atalanta,16,16,0,0.75
4,15,Dd;Dc,MASIELLO A,Atalanta,15,15,0,
5,2077,C;T,PASALIC,Atalanta,14,14,0,0.7
6,316,Por,BERISHA E,Atalanta,12,12,0,
7,2719,Pc,BARROW,Atalanta,11,11,0,0.7
8,2868,A,RIGONI E,Atalanta,11,11,0,
9,695,Dc,TOLOI,Atalanta,10,10,0,0.9
10,22,M;C,DE ROON,Atalanta,9,9,0,0.8
11,2130,Dd;E,HATEBOER,Atalanta,8,8,0,0.8
12,2296,Dc,MANCINI G,Atalanta,8,8,0,
13,778,Pc,TUMMINELLO,Atalanta,7,7,0,0.5
14,2160,Ds;E,GOSENS,Atalanta,7,7,0,0.7
15,2181,Dc,PALOMINO,Atalanta,7,7,0,0.7
16,2197,Dd;E,CASTAGNE,Atalanta,6,6,0,0.6
17,2739,Ds;E,RECA,Atalanta,5,5,0,0.5
18,2741,C,PESSINA,Atalanta,5,5,0,0.45
19,2163,Pc,CORNELIUS,Atalanta,4,4,0,0.45
20,575,Ds;E,ADNAN,Atalanta,3,3,0,0.45
21,787,Dc,DJIMSITI,Atalanta,2,2,0,0.3
22,610,Por,GOLLINI,Atalanta,1,1,0,0.5
23,2297,Por,ROSSI F,Atalanta,1,1,0,
24,2740,Dc,VARNIER,Atalanta,1,1,0,0.1
25,2737,Dc,BETTELLA,Atalanta,1,1,0,0.2
26,2833,C;T,KULUSEVSKI,Atalanta,1,1,0,0.1
27,2742,C,VALZANIA,Atalanta,1,1,0,0.4
28,532,Pc,FALCINELLI,Bologna,16,16,0,0.65
29,713,C;T,DZEMAILI,Bologna,13,13,0,0.8
30,472,Pc,DESTRO,Bologna,12,12,0,0.6
31,644,M;C,PULGAR,Bologna,11,11,0,0.8
32,2743,Pc,SANTANDER,Bologna,10,10,0,0.6
33,133,Por,SKORUPSKI,Bologna,9,9,0,0.9
34,374,M;C,POLI,Bologna,9,9,0,0.75
35,669,M;C,DONSAH,Bologna,8,8,0,0.75
36,106,E,MATTIELLO,Bologna,8,8,0,0.75
37,578,Dc,DANILO,Bologna,8,8,0,0.75
38,280,A,PALACIO,Bologna,8,8,0,0.6
39,224,Dc,DE MAIO,Bologna,7,7,0,0.75
