;Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.;Tit
30;2719;Pc;BARROW;Atalanta;11;11;0;0.55
48;316;Por;BERISHA;Atalanta;12;12;0;0.75
54;2737;Dc;BETTELLA;Atalanta;1;1;0;0.2
95;2197;"Dd;E";CASTAGNE;Atalanta;6;6;0;0.5
119;2163;Pc;CORNELIUS;Atalanta;4;4;0;0.5
130;21;W;D'ALESSANDRO;Atalanta;3;3;0;0.4
140;22;"M;C";DE ROON;Atalanta;9;9;0;0.8
164;787;Dc;DJIMSITI;Atalanta;2;2;0;0
201;788;C;FREULER;Atalanta;16;16;0;0.7
217;610;Por;GOLLINI;Atalanta;1;1;0;0.5
218;26;A;GOMEZ A;Atalanta;24;24;0;0.9
224;2160;"Ds;E";GOSENS;Atalanta;7;7;0;0.4
235;2130;"Dd;E";HATEBOER;Atalanta;8;8;0;0.6
247;177;"T;A";ILICIC;Atalanta;24;24;0;0.9
282;2833;"C;T";KULUSEVSKI;Atalanta;1;1;0;0.1
317;2296;Dc;MANCINI G;Atalanta;8;8;0;0.35
328;15;"Dd;Dc";MASIELLO A;Atalanta;15;15;0;0.9
380;2181;Dc;PALOMINO;Atalanta;7;7;0;0.7
385;2077;"C;T";PASALIC;Atalanta;14;14;0;0.7
403;2741;C;PESSINA;Atalanta;5;5;0;0.45
429;3;Por;RADUNOVIC;Atalanta;1;1;0;0
436;2739;"Ds;E";RECA;Atalanta;5;5;0;0.3
455;2297;Por;ROSSI F;Atalanta;1;1;0;0
512;695;Dc;TOLOI;Atalanta;10;10;0;0.9
517;778;Pc;TUMMINELLO;Atalanta;7;7;0;0.3
524;2742;C;VALZANIA;Atalanta;1;1;0;0.4
525;2740;Dc;VARNIER;Atalanta;1;1;0;0
549;608;Pc;ZAPATA D;Atalanta;25;25;0;0.8
19;2650;Pc;AVENATTI;Bologna;1;1;0;0
72;2834;Dc;BRIGNANI;Bologna;1;1;0;0.3
79;2745;"Dd;Dc";CALABRESI;Bologna;1;1;0;0.3
132;40;Por;DA COSTA;Bologna;1;1;0;0.3
138;224;Dc;DE MAIO;Bologna;7;7;0;0.85
150;472;Pc;DESTRO;Bologna;12;12;0;0.5
159;2746;"Ds;E";DIJKS;Bologna;5;5;0;0.5
170;669;"M;C";DONSAH;Bologna;8;8;0;0.5
177;713;"C;T";DZEMAILI;Bologna;13;13;0;0.8
185;532;Pc;FALCINELLI;Bologna;16;16;0;0.8
187;2210;T;FALLETTI;Bologna;2;2;0;0.3
222;419;Dc;GONZALEZ G;Bologna;6;6;0;0.9
236;615;Dc;HELANDER;Bologna;7;7;0;0.85
269;2835;C;KINGSLEY;Bologna;1;1;0;0
278;663;"Dd;E";KRAFTH;Bologna;3;3;0;0.3
280;1858;W;KREJCI;Bologna;5;5;0;0.5
330;106;E;MATTIELLO;Bologna;8;8;0;0.8
334;50;"Dd;Ds;Dc";MBAYE;Bologna;6;6;0;0.4
361;1859;"M;C";NAGY;Bologna;4;4;0;0.45
368;2100;A;OKWONKWO;Bologna;5;5;0;0.5
373;2167;"T;A";ORSOLINI;Bologna;4;4;0;0.55
379;280;A;PALACIO;Bologna;8;8;0;0.6
390;2747;"Ds;Dc";PAZ;Bologna;4;4;0;0.45
405;2114;Pc;PETKOVIC;Bologna;2;2;0;0.45
415;374;"M;C";POLI;Bologna;9;9;0;0.9
423;644;"M;C";PULGAR;Bologna;11;11;0;0.6
